date,price
2014-05-22 00:00:00 UTC,522.6083
2014-05-23 00:00:00 UTC,524.475
2014-05-24 00:00:00 UTC,523.1083
2014-05-25 00:00:00 UTC,569.3767
2014-05-26 00:00:00 UTC,579.6217
2014-05-27 00:00:00 UTC,569.475
2014-05-28 00:00:00 UTC,571.5533
2014-05-29 00:00:00 UTC,565.26
2014-05-30 00:00:00 UTC,621.1467
2014-05-31 00:00:00 UTC,620.5
2014-06-01 00:00:00 UTC,640.1617
2014-06-02 00:00:00 UTC,656.41
2014-06-03 00:00:00 UTC,667.3683
2014-06-04 00:00:00 UTC,641.1833
2014-06-05 00:00:00 UTC,658.1
2014-06-06 00:00:00 UTC,648.63
2014-06-07 00:00:00 UTC,651.7083
2014-06-08 00:00:00 UTC,649.8983
2014-06-09 00:00:00 UTC,643.905
2014-06-10 00:00:00 UTC,649.0567
2014-06-11 00:00:00 UTC,630.0367
2014-06-12 00:00:00 UTC,567.175
2014-06-13 00:00:00 UTC,594.6833
2014-06-14 00:00:00 UTC,570.0033
2014-06-15 00:00:00 UTC,583.41
2014-06-16 00:00:00 UTC,592.52
2014-06-17 00:00:00 UTC,607.1583
2014-06-18 00:00:00 UTC,604.19
2014-06-19 00:00:00 UTC,593.3883
2014-06-20 00:00:00 UTC,590.055
2014-06-21 00:00:00 UTC,591.2567
2014-06-22 00:00:00 UTC,595.0367
2014-06-23 00:00:00 UTC,586.1483
2014-06-24 00:00:00 UTC,582.415
2014-06-25 00:00:00 UTC,561.4717
2014-06-26 00:00:00 UTC,579.5867
2014-06-27 00:00:00 UTC,598.2367
2014-06-28 00:00:00 UTC,594.8717
2014-06-29 00:00:00 UTC,598.4883
2014-06-30 00:00:00 UTC,637.755
2014-07-01 00:00:00 UTC,643.935
2014-07-02 00:00:00 UTC,648.1075
2014-07-03 00:00:00 UTC,640.2838
2014-07-04 00:00:00 UTC,627.1288
2014-07-05 00:00:00 UTC,627.5813
2014-07-06 00:00:00 UTC,631.0025
2014-07-07 00:00:00 UTC,619.495
2014-07-08 00:00:00 UTC,620.0475
2014-07-09 00:00:00 UTC,620.16
2014-07-10 00:00:00 UTC,615.1275
2014-07-11 00:00:00 UTC,630.835
2014-07-12 00:00:00 UTC,633.6389952
2014-07-13 00:00:00 UTC,627.4623228
2014-07-14 00:00:00 UTC,618.2050265
2014-07-15 00:00:00 UTC,618.9525
2014-07-16 00:00:00 UTC,614.1475
2014-07-17 00:00:00 UTC,622.895
2014-07-18 00:00:00 UTC,627.0188
2014-07-19 00:00:00 UTC,626.1763
